trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
Almassora - Platja,01,1,08:15:00,08:15:00,,,,,,
Almassora - Platja,02,2,08:20:00,08:20:00,,,,,,
Almassora - Platja,03,3,08:23:00,08:23:00,,,,,,
Almassora - Platja,04,4,08:26:00,08:26:00,,,,,,
Almassora - Platja,05,5,08:29:00,08:29:00,,,,,,
Almassora - Platja,06,6,08:34:00,08:34:00,,,,,,
Almassora - Platja,07,7,08:35:00,08:35:00,,,,,,
Almassora - Platja,08,8,08:37:00,08:37:00,,,,,,
Almassora - Platja,09,9,08:38:00,08:38:00,,,,,,
Almassora - Platja,10,10,08:40:00,08:40:00,,,,,,
Almassora - Platja,11,11,08:41:00,08:41:00,,,,,,
Almassora - Platja,12,12,08:42:00,08:42:00,,,,,,
Almassora - Platja,13,13,08:43:00,08:43:00,,,,,,
Almassora - Platja,14,14,08:48:00,08:48:00,,,,,,
Almassora - Platja,15,15,08:55:00,08:55:00,,,,,,
Almassora - Platja Vesprada,01,1,14:15:00,14:15:00,,,,,,
Almassora - Platja Vesprada,02,2,14:20:00,14:20:00,,,,,,
Almassora - Platja Vesprada,03,3,14:23:00,14:23:00,,,,,,
Almassora - Platja Vesprada,04,4,14:26:00,14:26:00,,,,,,
Almassora - Platja Vesprada,05,5,14:29:00,14:29:00,,,,,,
Almassora - Platja Vesprada,06,6,14:34:00,14:34:00,,,,,,
Almassora - Platja Vesprada,07,7,14:35:00,14:35:00,,,,,,
Almassora - Platja Vesprada,08,8,14:37:00,14:37:00,,,,,,
Almassora - Platja Vesprada,09,9,14:38:00,14:38:00,,,,,,
Almassora - Platja Vesprada,10,10,14:40:00,14:40:00,,,,,,
Almassora - Platja Vesprada,11,11,14:41:00,14:41:00,,,,,,
Almassora - Platja Vesprada,12,12,14:42:00,14:42:00,,,,,,
Almassora - Platja Vesprada,13,13,14:43:00,14:43:00,,,,,,
Almassora - Platja Vesprada,14,14,14:48:00,14:48:00,,,,,,
Almassora - Platja Vesprada,15,15,14:55:00,14:55:00,,,,,,
Almassora - Platja 1,01,1,17:15:15,17:15:15,,,,,,
Almassora - Platja 1,02,2,17:20:15,17:20:15,,,,,,
Almassora - Platja 1,03,3,17:23:15,17:23:15,,,,,,
Almassora - Platja 1,04,4,17:26:15,17:26:15,,,,,,
Almassora - Platja 1,05,5,17:29:15,17:29:15,,,,,,
Almassora - Platja 1,06,6,17:34:15,17:34:15,,,,,,
Almassora - Platja 1,07,7,17:35:15,17:35:15,,,,,,
Almassora - Platja 1,08,8,17:37:15,17:37:15,,,,,,
Almassora - Platja 1,09,9,17:38:15,17:38:15,,,,,,
Almassora - Platja 1,10,10,17:40:15,17:40:15,,,,,,
Almassora - Platja 1,11,11,17:41:15,17:41:15,,,,,,
Almassora - Platja 1,12,12,17:42:15,17:42:15,,,,,,
Almassora - Platja 1,13,13,17:43:15,17:43:15,,,,,,
Almassora - Platja 1,14,14,17:48:15,17:48:15,,,,,,
Almassora - Platja 1,15,15,17:55:15,17:55:15,,,,,,
Almassora - Platja 2,01,1,09:45:00,09:45:00,,,,,,
Almassora - Platja 2,02,2,09:50:00,09:50:00,,,,,,
Almassora - Platja 2,03,3,09:53:00,09:53:00,,,,,,
Almassora - Platja 2,04,4,09:56:00,09:56:00,,,,,,
Almassora - Platja 2,05,5,09:59:00,09:59:00,,,,,,
Almassora - Platja 2,06,6,10:04:00,10:04:00,,,,,,
Almassora - Platja 2,07,7,10:05:00,10:05:00,,,,,,
Almassora - Platja 2,08,8,10:07:00,10:07:00,,,,,,
Almassora - Platja 2,09,9,10:08:00,10:08:00,,,,,,
Almassora - Platja 2,10,10,10:10:00,10:10:00,,,,,,
Almassora - Platja 2,11,11,10:11:00,10:11:00,,,,,,
Almassora - Platja 2,12,12,10:12:00,10:12:00,,,,,,
Almassora - Platja 2,13,13,10:13:00,10:13:00,,,,,,
Almassora - Platja 2,14,14,10:18:00,10:18:00,,,,,,
Almassora - Platja 2,15,15,10:25:00,10:25:00,,,,,,
