service_id,date,exception_type
3093,20250926,1
3076,20250927,1
3078,20250928,1
3116,20250929,1
3116,20250930,1
3116,20251001,1
3116,20251002,1
3093,20251003,1
3076,20251004,1
3078,20251005,1
3091,20251006,1
3091,20251007,1
3093,20251008,1
3078,20251009,1
3093,20251010,1
3076,20251011,1
3078,20251012,1
3091,20251013,1
3091,20251014,1
3091,20251015,1
3091,20251016,1
3093,20251017,1
3076,20251018,1
3078,20251019,1
3091,20251020,1
3091,20251021,1
3091,20251022,1
3091,20251023,1
3093,20251024,1
3076,20251025,1
3078,20251026,1
3091,20251027,1
3091,20251028,1
3091,20251029,1
3091,20251030,1
3093,20251031,1
3078,20251102,1
3091,20251103,1
3091,20251104,1
3091,20251105,1
3091,20251106,1
3093,20251107,1
3076,20251108,1
3078,20251109,1
3091,20251110,1
3091,20251111,1
3091,20251112,1
3091,20251113,1
3093,20251114,1
3076,20251115,1
3078,20251116,1
3091,20251117,1
3091,20251118,1
3091,20251119,1
3091,20251120,1
3093,20251121,1
3076,20251122,1
3078,20251123,1
3091,20251124,1
3091,20251125,1
3091,20251126,1
3091,20251127,1
3093,20251128,1
3076,20251129,1
3078,20251130,1
3091,20251201,1
3091,20251202,1
3091,20251203,1
3091,20251204,1
3093,20251205,1
3078,20251207,1
3078,20251208,1
3091,20251209,1
3091,20251210,1
3091,20251211,1
3093,20251212,1
3076,20251213,1
3078,20251214,1
3091,20251215,1
3091,20251216,1
3091,20251217,1
3091,20251218,1
3093,20251219,1
3076,20251220,1
3078,20251221,1
3091,20251222,1
3091,20251223,1
3091,20251224,1
3078,20251225,1
3093,20251226,1
3076,20251227,1
3078,20251228,1
3091,20251229,1
3091,20251230,1
3091,20251231,1
