route_id,agency_id,route_short_name,route_long_name,route_type
5101010,5101,L1,Alcalà – Las fuentes - Cap i Corp,3
19000010,1270636001,L1,Castelló de la Plana – Alacant,3
5102012,5102,L1b,Castelló de la Plana – Vila-real – València (lanzadera),3
510713,5107,L13,Castelló de la Plana – Vilafamés,3
2203541451,2203539301,L2,L2_Racó de Loix - Benidorm C - Calas - CC,3
5105010,5105,L1,Castelló de la Plana-Sant Mateu-Morella,3
5105020,5105,L2,Morella-Alcañiz (paradas a demanda),3
5105031,5105,L3A,Culla- Albocàsser (paradas a demanda),3
5105032,5105,L3B,Albocàsser-Benicarló,3
5105040,5105,L4,Las Pobla de Tornesa-Useras (paradas a demanda),3
5105070,5105,L7,Torreblanca-Playa de Torrenostra,3
19020010,1277324001,L1,Castelló de la Plana – Alacant,3
5105090,5105,L9,Catí-Sant Mateu-Vinaròs,3
5105120,5105,L12,Castelló de la Plana -Borriol,3
5105130,5105,L13,Castelló de la Plana-Benicàssim (por las Villas),3
5105140,5105,L14,Castelló de la Plana-Benicàssim (por Serradal-Mohino-…),3
5105150,5105,L15,Castelló de la Plana-Vinaròs,3
591000101,5910,L1A,Cullera – Sueca – Albalat – Hospital – Alzira,3
591000102,5910,L1B,Sueca – Albalat – Hospital,3
591000200,5910,L2,Cullera – Sueca – Algemesí,3
591000301,5910,L3A,Sueca – Cullera – Favara – Hospital – Alzira,3
591000302,5910,L3B,Cullera – Favara – Hospital – Alzira,3
591000400,5910,L4,El Perelló – Corbera – Hospital - Alzira,3
591000501,5910,L5A,El Perelló – Sueca,3
591000502,5910,L5B,El Perelló – Sueca (per Mareny Blau),3
591000503,5910,L5C,El Perelló – Sueca (per Mareny Blau i Bega de Mar),3
590600200,5906,L2,Carcaixent – Alzira – Algemesí - València,3
100200103,1002,L1,Vinaròs – Benicarló – Peníscola (12-2021 a 09-2022),3
590102,5901,L2,Carcelén – Xàtiva,3
590103,5901,L3,Pinet – Xàtiva,3
2211835801,2211835201,L180,L180_València - Albal,3
520111,5201,L1A,Titaguas – València,3
520112,5201,L1B,Tuéjar – València,3
520113,5201,L1C,Villar del Arzobispo – València,3
502551,5025,L51,Mutxamel – Busot,3
502552,5025,L52,Busot – El Campello,3
2213278353,2211835201,L185,L185_Picassent - El Saler,3
510811,5108,L1A,"Onda – Castelló de la Plana (por Vila-real y Hospital de la plana, hasta UJI)",3
510799,5107,LX,Sant Joan de Moró – Castelló de la Plana,3
510812,5108,L1B,"Onda – Castelló de la Plana (por Vila-real y Hospital de la plana, hasta estación)",3
510813,5108,L1C,Onda – Castelló de la Plana (directo a la UJI),3
2083379803,1932031151,L21N,L21N_Alacant - El Campello (Nocturn),3
59990030,5999,T3,Grau – Serradal,3
59990040,5999,T4,UJI – Parc Ribalta,3
10020014,1002,L1A1,L1A1_Vinaròs – Benicarló – Peníscola (sin corte),3
10020016,1002,L1A2,L1A2_Vinaròs – Benicarló – Peníscola (con corte),3
10020015,1002,L1B1,L1B1_Vinaròs – Benicarló – Peníscola (per RENFE) (sin corte),3
10020017,1002,L1B2,L1B2_Vinaròs – Benicarló – Peníscola (per RENFE) (con corte),3
2211835802,2211835201,L181,L181_València - Picassent,3
590603,5906,L3,Riola – Algemesí – Guadassuar,3
590604,5906,L4,Sollana – Alginet – Hospital Alzira,3
522801,5228,L1,La Pobla del Duc – Xàtiva,3
2211835803,2211835201,L182,L182_València - Silla,3
2213278352,2211835201,L184,L184_Silla - Hospital La Fe,3
510814,5108,L1D,Onda – Hospital de la Plana,3
5004050,5004,L5,Orihuela – La Aparecida,3
509006,5090,L6,Torrevieja – Universidad Alicante,3
509007,5090,L7,Guardamar del Segura – Hospital,3
10020012,1002,L1B,L1B_Vinaròs – Benicarló – Peníscola (per RENFE),3
51050082,5105,L8B,Castelló de la Plana - Benicàssim - Playetas - Oropesa - Oropesa platja (VERANO),3
59990010,5999,T1,UJI – Grau,3
92633201,9263,L320A,València-Sagunt-La Vall d Uixó,3
92633202,9263,L320B,Sagunt-La Vall d Uixó (per Sants de la Pedra),3
92633203,9263,L320C,València-Sagunt-La Vall d Uixó (sense passar per Camí de Vera),3
92633204,9263,L320D,La Vall d Uixó-Sagunt (sense passar per Almenara),3
51050081,5105,L8A,Castelló de la Plana - Benicàssim - Playetas - Oropesa - Oropesa platja (INVIERNO),3
10020022,1002,L2B,Peñíscola – Benicarló (12-2021 a 09-2022),3
10020021,1002,L2A,Benicarló – Peñíscola (12-2021 a 09-2022),3
509001,5090,L1,Pilar de la Horadada – Alicante,3
509002,5090,L2,Torrevieja-Alicante,3
509003,5090,L3,Dolores – Alicante,3
520105,5201,L5,Alcublas – Llíria (paradas a demanda),3
520114,5201,L1D,Aras de los Olmos – Titaguas (paradas a demanda),3
520121,5201,L2A,Castilefabib – Vallanca – Titaguas (paradas a demanda),3
520122,5201,L2B,Castilefabib – Titaguas (paradas a demanda),3
520131,5201,L3A,Arcos de las Salinas – Abejuela – Titaguas – Tuéjar (paradas a demanda),3
520132,5201,L3B,Arcos de las Salinas – Titaguas – Tuéjar (paradas a demanda),3
520141,5201,L4A,Sot de Chera – Villar (paradas a demanda),3
520142,5201,L4B,Andilla – Artaj – Oset – Higueruelas – Villar (paradas a demanda),3
520161,5201,L6A,Vallanca – Ademuz – Torrebaja (paradas a demanda),3
520162,5201,L6B,Casas Bajas – Ademuz – Torrebaja (paradas a demanda),3
10020013,1002,L1C,Benicarló – Peníscola,3
6016010,6016,L1,Santa Pola – Alacant,3
59150011,5915,L1A,Navarrés – Xàtiva (desde Bicorp a demanda),3
59150012,5915,L1B,Navarrés – Xàtiva – Hospital (desde Bicorp a demanda),3
59150013,5915,L1C,Enguera – Anna - Xàtiva,3
59150014,5915,L1D,Enguera – Xàtiva – Hospital,3
59150021,5915,L2A,Càrcer – Xàtiva (desde Cotes a demanda),3
59150022,5915,L2B,Cotes – Sumacàrcer (a demanda),3
59150023,5915,L2C,Cotes – Sellent (a demanda),3
59150030,5915,L3,Antella – Xàtiva,3
59150040,5915,L4,La Pobla Llarga – Xàtiva – Hospital,3
59150050,5915,L5,Barxeta – Xàtiva,3
59150060,5915,L6,Novetlè – Xàtiva – Hospital (desde Vallés i Anahuir a demanda),3
1473879152,1473878501,L251a,L251a_Crevillent - Elx - Alacant (per Nacional),3
59990020,5999,T2,UJI – Grau – Platja,3
570101,5701,L1,Bocairent – Ontinyent,3
570102,5701,L2,Banyeres de Mariola – Villena,3
2211835804,2211835201,L182N,L182N_València - Silla - Picassent,3
1473879153,1473878501,L251b,L251b_Parc empresarial - Torrellano - Alacant,3
2096814851,2042521951,L416a*,L416a*_Cofrentes – Ayora – Almansa (Zarra a demanda),3
1473879154,1473878501,L252,L252_Crevillent - Alacant (directe),3
1620431252,1620431001,L710,L710_Alacant - València (directe),3
1620431253,1620431001,L715,L715_Elx - Elda - Alcoi - València,3
590301,5903,L1,Antella – Alzira – Hospital de la Ribera,3
590302,5903,L2,Alberic – Alzira,3
590511,5905,L1A,Pego – Oliva – Gandia,3
590512,5905,L1B,Pego – Daimús – Gandia,3
590513,5905,L1C,Oliva – Bellreguard – Gandia,3
590514,5905,L1D,Oliva – Daimús - Gandia,3
1473879156,1473878501,L255a,L255a_Elx - Santa Pola,3
1473879157,1473878501,L255b,L255b_Elx - Santa Pola - Gran Alacant,3
1473879158,1473878501,L258,L258_Elx - Universitat Alacant,3
1620431251,1620431001,L710a,L710a_Alacant - Gandia - València,3
10020011,1002,L1A,L1A_Vinaròs – Benicarló – Peníscola,3
1620431258,1620431002,L521,L521_Benidorm - Alacant (directe),3
1473879151,1473878501,L250,L250_Elx - Alacant (directe),3
1620431257,1620431002,L520,L520_Benidorm - Aeroport,3
2213278351,2211835201,L183,L183_València - Sedaví - CC Alfafar - IKEA,3
2100452951,2044020301,L480a*,L480a*_Ontinyent – Xàtiva (per Albaida amb Bufalí i Carricola a demanda),3
510751,5107,L5A,Borriana - València,3
2100452953,2044020301,L481a*,L481a*_Castelló de Rugat - Ontinyent (per Otos),3
2100452954,2044020301,L481b*,L481b*_Castelló de Rugat - Ontinyent (per Bélgida),3
2214731751,2211835201,L186A,L186A_Paiporta - Albal - Torrent,3
2214731752,2211835201,L186B,L186B_Albal - Paiporta - Torrent,3
2100452957,2044020301,L485a,L485a_La Font de la Figuera – Xàtiva,3
2100452958,2044020301,L485b,L485b_La Font de la Figuera – Moixent,3
1620431259,1620431002,L522a,L522a_Benidorm - La Vila Joiosa - Universitat - Alacant,3
1620431260,1620431002,L522b,L522b_Benidorm - La Vila Joiosa - Alacant,3
1620431261,1620431002,L525a,L525a_Dénia - Alacant - Aeroport (per Pedreguer i Gata de Gorgos),3
1620431262,1620431002,L525,L525_Dénia - Aeroport (directe),3
1620431263,1620431002,L526a,L526a_Xàbia - Alacant - Aeroport (per Teulada i Benissa),3
510752,5107,L5B,Betxí-Borriana-València,3
1620431264,1620431002,L526,L526_Xàbia - Aeroport (directe),3
1620431265,1620431002,L527,L527_Calp - Altea - Alacant - Aeroport,3
1473879155,1473878501,L253,L253_Crevillent-Elx,3
1620431256,1620431001,L718,L718_Alcoi - Gandia - València,3
1620431266,1620431002,L528,L528_Callosa d'en Sarrià - La Nucia - Alacant,3
2100452959,2044020301,L486,L486_Xátiva - Gandia,3
2239800351,1901190601,L500a,L500a_Real - València,3
2100452956,2044020301,L483*,L483*_La Font de la Figuera - Ontinyent,3
2096816351,2042521951,L416b,L416b_Ayora – Almansa,3
2274120551,2274119701,L110,L110_Alboraia - Sagunt - Port de Sagunt (Mini Fe),3
2274148251,2274119701,L111,L111_València - Sagunt - Port de Sagunt (per N-340),3
2277053651,2274119701,L112A,L112A_València - Platges - El Puig,3
2277053652,2274119701,L112B,L112B_València - Port Saplaya,3
2277053655,2274119701,L114A,L114A_València - Sagunt (per V-21),3
2277053657,2274119701,L115,L115_València - Port de Sagunt,3
2295784351,2076567001,L361a,L361a_Platja de Moncofa - Castelló de la Plana (fins la UJI),3
2277053660,2274119701,L116C,L116C_València - Port de Sagunt (fins Canet),3
2299759051,2274119701,L117N,L117N_Puçol - Rafelbunyol (nocturn),3
2299759053,2274119701,L119N,L119N_Puçol - València (nocturn),3
2100452952,2044020301,L480b*,L480b*_Ontinyent – Xàtiva (per l'Olleria),3
2004504757,1932031151,L41,L41_Aigües - El Campello,3
2070902402,2070900901,L424*,"L424*_Venta del Moro – Requena (por Los Ruices, Las Monjas y Los Marcos a demanda)",3
2214731754,2211835201,L191,L191_València - El Perelló - El Mareny,3
1473879159,1473878501,L259,L259_Crevillent - Elx - Torrellano - UA - UMH,3
1620431254,1620431001,L716,L716_Ontinyent - València,3
1620431255,1620431001,L717,L717_Ibi - Alcoi - Xàtiva - València,3
510761,5107,L6A,Cortes de Arenoso – Castelló de la Plana,3
2070902401,2070900901,L421,L421_Chera – Requena,3
2214731753,2211835201,L187,L187_Alcàsser - Silla,3
2042522753,2042521951,L411,L411_Requena - València,3
510762,5107,L6B,Cortes de Arenoso – Castelló de la Plana (por San Vicente),3
510791,5107,L9A,Vistabella del Maestrat – Castelló de la Plana,3
1980349057,1980348601,L374a,L374a_Torás - Bejís - Segorbe (prol. demanda a Sacañet),3
1980349061,1980348601,L376,L376_Les Valls - Pl. Canet - Sagunt,3
2239800352,1901190601,L500b,L500b_Real - Torrent (metro Avinguda),3
1980349051,1980348601,L370,L370_Altura - Segorbe - València,3
1980349052,1980348601,L371a,L371a_Montanejos - Segorbe,3
1980349055,1980348601,L372b,L372b_Almedíjar - Castellnovo - Peñalba - Segorbe (a demanda),3
